Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Team
ALO,26.0,98.127,HARD,12.0,Aston Martin
ALO,27.0,98.612,HARD,13.0,Aston Martin
ALO,28.0,98.199,HARD,14.0,Aston Martin
ALO,29.0,98.585,HARD,15.0,Aston Martin
ALO,30.0,98.282,HARD,16.0,Aston Martin
ALO,31.0,98.009,HARD,17.0,Aston Martin
ALO,32.0,97.871,HARD,18.0,Aston Martin
ALO,33.0,97.769,HARD,19.0,Aston Martin
ALO,34.0,100.353,HARD,20.0,Aston Martin
ALO,36.0,96.156,HARD,2.0,Aston Martin
ALO,37.0,97.431,HARD,3.0,Aston Martin
ALO,38.0,97.002,HARD,4.0,Aston Martin
ALO,39.0,97.243,HARD,5.0,Aston Martin
ALO,40.0,97.208,HARD,6.0,Aston Martin
ALO,42.0,96.334,HARD,8.0,Aston Martin
ALO,43.0,96.911,HARD,9.0,Aston Martin
ALO,44.0,97.022,HARD,10.0,Aston Martin
ALO,45.0,97.931,HARD,11.0,Aston Martin
ALO,46.0,97.087,HARD,12.0,Aston Martin
ALO,47.0,97.326,HARD,13.0,Aston Martin
ALO,48.0,96.783,HARD,14.0,Aston Martin
ALO,49.0,96.726,HARD,15.0,Aston Martin
ALO,50.0,96.331,HARD,16.0,Aston Martin
ALO,51.0,96.96,HARD,17.0,Aston Martin
ALO,52.0,97.01,HARD,18.0,Aston Martin
ALO,53.0,97.01,HARD,19.0,Aston Martin
ALO,54.0,97.599,HARD,20.0,Aston Martin
ALO,55.0,97.662,HARD,21.0,Aston Martin
ALO,56.0,97.473,HARD,22.0,Aston Martin
ALO,57.0,97.422,HARD,23.0,Aston Martin
LEC,1.0,100.23,SOFT,1.0,Ferrari
LEC,2.0,98.75,SOFT,2.0,Ferrari
LEC,3.0,98.658,SOFT,3.0,Ferrari
LEC,4.0,98.825,SOFT,4.0,Ferrari
LEC,5.0,98.664,SOFT,5.0,Ferrari
LEC,6.0,98.572,SOFT,6.0,Ferrari
LEC,7.0,98.691,SOFT,7.0,Ferrari
LEC,8.0,98.614,SOFT,8.0,Ferrari
LEC,9.0,98.828,SOFT,9.0,Ferrari
LEC,10.0,99.073,SOFT,10.0,Ferrari
LEC,11.0,99.212,SOFT,11.0,Ferrari
LEC,12.0,99.489,SOFT,12.0,Ferrari
LEC,15.0,98.477,HARD,2.0,Ferrari
LEC,16.0,97.953,HARD,3.0,Ferrari
LEC,17.0,98.031,HARD,4.0,Ferrari
LEC,18.0,97.798,HARD,5.0,Ferrari
LEC,19.0,97.858,HARD,6.0,Ferrari
LEC,20.0,97.631,HARD,7.0,Ferrari
LEC,21.0,97.753,HARD,8.0,Ferrari
LEC,22.0,98.162,HARD,9.0,Ferrari
LEC,23.0,98.054,HARD,10.0,Ferrari
LEC,24.0,97.972,HARD,11.0,Ferrari
LEC,25.0,98.541,HARD,12.0,Ferrari
LEC,26.0,99.668,HARD,13.0,Ferrari
LEC,27.0,98.814,HARD,14.0,Ferrari
LEC,28.0,98.618,HARD,15.0,Ferrari
LEC,29.0,98.447,HARD,16.0,Ferrari
LEC,30.0,98.39,HARD,17.0,Ferrari
LEC,31.0,98.746,HARD,18.0,Ferrari
LEC,32.0,98.948,HARD,19.0,Ferrari
LEC,35.0,98.073,HARD,2.0,Ferrari
LEC,36.0,97.313,HARD,3.0,Ferrari
LEC,37.0,97.17,HARD,4.0,Ferrari
LEC,38.0,97.17,HARD,5.0,Ferrari
LEC,39.0,97.287,HARD,6.0,Ferrari
STR,2.0,99.892,SOFT,5.0,Aston Martin
STR,3.0,99.625,SOFT,6.0,Aston Martin
STR,4.0,99.745,SOFT,7.0,Aston Martin
STR,5.0,99.144,SOFT,8.0,Aston Martin
STR,6.0,99.714,SOFT,9.0,Aston Martin
STR,7.0,99.945,SOFT,10.0,Aston Martin
STR,8.0,99.801,SOFT,11.0,Aston Martin
STR,9.0,100.106,SOFT,12.0,Aston Martin
STR,10.0,100.192,SOFT,13.0,Aston Martin
STR,14.0,100.002,SOFT,17.0,Aston Martin
STR,17.0,97.507,HARD,2.0,Aston Martin
STR,18.0,98.127,HARD,3.0,Aston Martin
STR,19.0,98.587,HARD,4.0,Aston Martin
STR,20.0,98.038,HARD,5.0,Aston Martin
STR,21.0,98.273,HARD,6.0,Aston Martin
STR,22.0,98.73,HARD,7.0,Aston Martin
STR,23.0,98.295,HARD,8.0,Aston Martin
